id;transcription;domain;intent;slots
641;Engade: chocolate, á lista da compra;lists;add_to_list;list, element, date
642;Anota que hai que comprar cereixas;lists;add_to_list;list, element, date
643;Pon na lista da compra: un par de cabaciñas;lists;add_to_list;list, element, date
644;Hai que comprar patacas;lists;add_to_list;list, element, date
645;Hai que comprar ovos e leite sen falta;lists;add_to_list;list, element, date
646;Hai que mercar chourizos, repolos e verzas para o cocido;lists;add_to_list;list, element, date
647;Temos que comprar costelas de porco para o churrasco;lists;add_to_list;list, element, date
648;Anota: salsa picante do churrasco, na lista da compra;lists;add_to_list;list, element, date
649;Non me podo esquecer de comprar un esqueleto de polo para a sopa;lists;add_to_list;list, element, date
650;Pon tres quilos de patacas na lista;lists;add_to_list;list, element, date
651;Ola, engade: regar as plantas, na lista de tarefas;lists;add_to_list;list, element, date
652;Quero que agregues: tomar a pastilla, na lista de tarefas;lists;add_to_list;list, element, date
653;Podes engadir: chamar os avós, á lista de tarefas?;lists;add_to_list;list, element, date
654;Anota no inventario de tarefas que teño que sacar o lixo;lists;add_to_list;list, element, date
655;Teño que chamar ao hotel, engádeo á lista de tarefas;lists;add_to_list;list, element, date
656;Podes pór na lista de tarefas que teño que recoller os zapatos?;lists;add_to_list;list, element, date
657;Agrega: poñer unha lavadora, á lista de tarefas;lists;add_to_list;list, element, date
658;Pon no inventario das tarefas que teño que limpar os cristais da cociña;lists;add_to_list;list, element, date
659;Poderías anotar que hai que chamar o fontaneiro?;lists;add_to_list;list, element, date
660;Boas, anota na lista de tarefas que temos que recoller o paquete mañá;lists;add_to_list;list, element, date
661;Anótame unha cita o xoves vinte e catro ás sete;lists;add_to_list;list, element, date
662;Engade que teño unha cita no médico o próximo venres ás once;lists;add_to_list;list, element, date
663;Por favor, engade ao calendario que teño que ir ao médico o próximo luns ás nove;lists;add_to_list;list, element, date
664;Podes engadirme no calendario que teño que recoller a roupa en dúas semanas?;lists;add_to_list;list, element, date
665;Quero engadir un evento o mércores quince de agosto co asunto: aniversario primo;lists;add_to_list;list, element, date
666;Engade un evento mañá ao meu calendario co asunto: partido sobriños;lists;add_to_list;list, element, date
667;Podes anotar no calendario que en dous venres teño que facer unha analítica?;lists;add_to_list;list, element, date
668;Gustaríame que me lembres que o último venres do mes teño que pagarlle a meu pai;lists;add_to_list;list, element, date
669;Lémbrame que o mes que vén teño que facer a matrícula;lists;add_to_list;list, element, date
670;Anota: veterinario, para o día un de xullo;lists;add_to_list;list, element, date
671;Crea un evento para recoller a roupa na tinturería o próximo luns;lists;add_to_list;list, element, date
672;Avísame de que en dúas semanas teño que levar o coche ao taller;lists;add_to_list;list, element, date
673;Engade ao calendario que hai que pasar a revisión do camión este venres;lists;add_to_list;list, element, date
674;Créame un evento para dentro dun mes, co tema: comprar libros;lists;add_to_list;list, element, date
675;Podes crearme un evento para o dezasete de abril?;lists;add_to_list;list, element, date
676;Crea un evento co asunto: concerto, para este sábado ás dúas;lists;add_to_list;list, element, date
677;Anótame unha cita co fisioterapeuta para o martes ás dúas;lists;add_to_list;list, element, date
678;Quero que engadas ao calendario o aniversario da miña prima este venres;lists;add_to_list;list, element, date
679;Lémbrame que nun par de semanas teño que mercarlle o agasallo a meu pai;lists;add_to_list;list, element, date
680;Podes lembrarme que o sete de setembro estarán os meus tíos de aniversario?;lists;add_to_list;list, element, date
681;Agrega: chamar a miña tía ao calendario este martes;lists;add_to_list;list, element, date
682;Agrega ao calendario que o luns vinte e un teño que pedir cita no salón de peiteado;lists;add_to_list;list, element, date
683;Podes agregar á lista de tarefas que teño que chamar e cancelar a cita do médico?;lists;add_to_list;list, element, date
684;Podes agregar ao calendario que o aniversario é o trinta de xuño?;lists;add_to_list;list, element, date
685;Faime o favor de anotar no meu calendario que teño que ir ás uñas o próximo mércores;lists;add_to_list;list, element, date
686;Anota aí: cita co podólogo o vindeiro mércores pola tarde;lists;add_to_list;list, element, date
687;Este martes teño que recoller o resultado das probas, engádeo ao calendario;lists;add_to_list;list, element, date
688;Ola. Poderías anotar no meu calendario que hai que chamar o pintor?;lists;add_to_list;list, element, date
689;Engade: cita médica, ao calendario;lists;add_to_list;list, element, date
690;Engade ao calendario: cita no Sergas este luns ás catro da tarde;lists;add_to_list;list, element, date
691;Pon un novo evento no calendario para mañá, co tema: cea empresa;lists;add_to_list;list, element, date
692;Podes avisarme de que este mércores teño que levar a cadela ao veterinario?;lists;add_to_list;list, element, date
693;Avisa a miña nai de que os martes e os xoves son os días que vén o panadeiro;lists;add_to_list;list, element, date
694;Podes avisar a meu pai de que chame á consulta mañá?;lists;add_to_list;list, element, date
695;Anota que mañá teño que pagar á peixeira;lists;add_to_list;list, element, date
696;Anótame aí que non me esqueza de felicitar mañá a miña irmá;lists;add_to_list;list, element, date
697;Podes crear un recordatorio para recoller os medicamentos nunha semana?;lists;add_to_list;list, element, date
698;En tres días é o aniversario da miña neta, anótamo;lists;add_to_list;list, element, date
699;O xoves comezan as rebaixas, lémbramo, faime o favor;lists;add_to_list;list, element, date
700;En dúas semanas chega a roupa da nova tempada, lémbrame que chame;lists;add_to_list;list, element, date
701;Mañá teño que pagar ao panadeiro, non me podo esquecer;lists;add_to_list;list, element, date
702;O próximo luns teño cita coa traumatóloga;lists;add_to_list;list, element, date
703;Podes avisarme que o vinte de abril é o aniversario do veciño?;lists;add_to_list;list, element, date
704;O tres de agosto está de aniversario o meu irmán, faime o favor de lembrarmo;lists;add_to_list;list, element, date
705;Lémbrame que o trinta de setembro están de aniversario os meus pais;lists;add_to_list;list, element, date
706;O próximo sábado é o santo do meu neto, podes recordarmo?;lists;add_to_list;list, element, date
707;O trece de xaneiro teño cita no hospital, anótamo para que non me esqueza;lists;add_to_list;list, element, date
708;Que non se me esqueza: o vindeiro venres teño que pasar pola farmacia;lists;add_to_list;list, element, date
709;Recórdalle que nos ten que chamar por teléfono o domingo;lists;add_to_list;list, element, date
710;Fai o favor, acórdalle que ten que ir mañá recoller os resultados;lists;add_to_list;list, element, date
711;Podes acordarlle que me chame o mércores despois da revisión?;lists;add_to_list;list, element, date
712;Anótame aí que os xoves son os días nos que vén o carteiro;lists;add_to_list;list, element, date
713;Acórdame que en dúas semanas é o cabodano do pai de Luís;lists;add_to_list;list, element, date
714;Lémbrame que lle colla xoubas ao peixeiro;lists;add_to_list;list, element, date
715;Garda aí que esta semana teño que mercar parrochas;lists;add_to_list;list, element, date
716;Podes acordarme que o vindeiro domingo é o santo do meu primo?;lists;add_to_list;list, element, date
717;Anota que mañá hai que mercar castañas para o magosto;lists;add_to_list;list, element, date
718;Avísame do santo do Daniel;lists;add_to_list;list, element, date
719;Acórdame de chamar sen falla mañá ao médico;lists;add_to_list;list, element, date
720;Acórdame de pasar pola xestoría á primeira hora o luns;lists;add_to_list;list, element, date
721;Engádeme papel hixiénico á lista da compra;lists;add_to_list;list, element, date
722;Recórdame que mañá teño que chamar o seguro;lists;add_to_list;list, element, date
723;Anota na lista de tarefas que hai que ir ao banco o martes para recoller a documentación;lists;add_to_list;list, element, date
724;Engádeme na lista da compra un par de cartóns de leite de avea;lists;add_to_list;list, element, date
725;Teño que mercar leite de soia, anótasmo?;lists;add_to_list;list, element, date
726;Anota un par de cartóns de leite sen lactosa na lista da compra;lists;add_to_list;list, element, date
727;Recórdame que o luns trinta teño que pasarme pola consulta;lists;add_to_list;list, element, date
728;Anótame latas de atún e vasiños de arroz na lista da compra;lists;add_to_list;list, element, date
729;Engade tamén plátanos á lista;lists;add_to_list;list, element, date
730;Engade á lista de tarefas que hai que pagar á comunidade;lists;add_to_list;list, element, date
731;Anota aí que hai que comprar pan para conxelar;lists;add_to_list;list, element, date
732;Engade pan integral á lista;lists;add_to_list;list, element, date
733;Recórdame que merque bolsas para conxelar;lists;add_to_list;list, element, date
734;Teño que mercar os xeos para a festa, engádeos á lista;lists;add_to_list;list, element, date
735;Anota tamén aceite e vinagre na lista;lists;add_to_list;list, element, date
736;Anota que o nove hai feira;lists;add_to_list;list, element, date
737;Engade ao calendario: feira para o sábado dezasete;lists;add_to_list;list, element, date
738;Anota no meu calendario un novo evento: feira o quince en Portomarín;lists;add_to_list;list, element, date
739;Engade un novo evento no meu calendario;lists;add_to_list;list, element, date
740;Quero que fagas unha nova entrada no meu calendario;lists;add_to_list;list, element, date
741;Anota que o venres é o día da feira;lists;add_to_list;list, element, date
742;Anota: romaría para o xoves que vén;lists;add_to_list;list, element, date
743;Anota que hai romaría o mércores catorce;lists;add_to_list;list, element, date
744;Engade un polbo á lista da compra;lists;add_to_list;list, element, date
745;Ah, e engade tamén pemento á lista;lists;add_to_list;list, element, date
746;Anota pementa e sal, que estou a quedar sen elas;lists;add_to_list;list, element, date
747;Anota na lista: ingredientes de cocido, que xa toca;lists;add_to_list;list, element, date
748;Teño que comprar chourizos, anótamo;lists;add_to_list;list, element, date
749;Anótame un par de costelas de porco;lists;add_to_list;list, element, date
750;Preciso cincocentos gramos de carne picada, anótao;lists;add_to_list;list, element, date
751;Cal é o meu calendario esta semana?;lists;check_list;list, element, date
752;Que teño para estes días?;lists;check_list;list, element, date
753;Cando tiña que recoller a saia na modista?;lists;check_list;list, element, date
754;Cando teño médico?;lists;check_list;list, element, date
755;Canto falta para a cita coa doutora?;lists;check_list;list, element, date
756;Cando é que fai anos a miña sogra?;lists;check_list;list, element, date
757;Que día fai anos a miña sobriña?;lists;check_list;list, element, date
758;Que hai para hoxe?;lists;check_list;list, element, date
759;Hoxe teño algunha tarefa pendente?;lists;check_list;list, element, date
760;Que día tiña que chamar o médico?;lists;check_list;list, element, date
761;Que día é o aniversario do meu irmán?;lists;check_list;list, element, date
762;En que cadra a miña cita no médico esta semana?;lists;check_list;list, element, date
763;Cando tiña eu cita no fisioterapeuta?;lists;check_list;list, element, date
764;Que teño anotado na lista da compra?;lists;check_list;list, element, date
765;Que hai na lista da compra?;lists;check_list;list, element, date
766;Por agora, que temos engadido na lista da compra?;lists;check_list;list, element, date
767;Cando temos veterinario?;lists;check_list;list, element, date
768;Dime que teño hoxe;lists;check_list;list, element, date
769;Dime que me toca mañá;lists;check_list;list, element, date
770;Que tarefas teño mañá?;lists;check_list;list, element, date
771;Que día vén o carpinteiro?;lists;check_list;list, element, date
772;Cando teño que recoller a medicación na farmacia?;lists;check_list;list, element, date
773;Podes lerme a lista da compra?;lists;check_list;list, element, date
774;Le o que hai por agora para mercar;lists;check_list;list, element, date
775;Que temos que comprar?;lists;check_list;list, element, date
776;Que eventos tes anotados para esta semana?;lists;check_list;list, element, date
777;Podes ler os eventos do meu calendario?;lists;check_list;list, element, date
778;Le os eventos;lists;check_list;list, element, date
779;Que teño que facer hoxe?;lists;check_list;list, element, date
780;Sabes se hoxe teño algo?;lists;check_list;list, element, date
781;Oíches?, que teño para mañá?;lists;check_list;list, element, date
782;Dime que temos anotado esta semana;lists;check_list;list, element, date
783;Cando cadra a próxima cita coa médica?;lists;check_list;list, element, date
784;En que cadra o aniversario da miña neta?;lists;check_list;list, element, date
785;Quero saber cando teño que volver a chamar o médico;lists;check_list;list, element, date
786;Que teño que facer mañá?;lists;check_list;list, element, date
787;Que teño no listado da compra?;lists;check_list;list, element, date
788;Sabes que teño anotado para mercar?;lists;check_list;list, element, date
789;Podes lerme o que teño anotado para comprar?;lists;check_list;list, element, date
790;Que eventos teño no meu calendario?;lists;check_list;list, element, date
791;Cando era o cabodano da nai de Cristina?;lists;check_list;list, element, date
792;Que días tes anotado que pasa a froiteira?;lists;check_list;list, element, date
793;Que citas teño esta semana?;lists;check_list;list, element, date
794;En que cadra o Nadal este ano?;lists;check_list;list, element, date
795;De quen é o santo hoxe?;lists;check_list;list, element, date
796;Ti sábesme dicir cando é o santo do meu neto?;lists;check_list;list, element, date
797;Cando é o santo de Xoaquín?;lists;check_list;list, element, date
798;Podes ver que día é San Martín?;lists;check_list;list, element, date
799;Como cae a Semana Santa o próximo ano?;lists;check_list;list, element, date
800;Oíches?, faime o favor de dicirme os meus eventos;lists;check_list;list, element, date
801;Leme a lista da compra;lists;check_list;list, element, date
802;Reproduce a lista da compra;lists;check_list;list, element, date
803;Que teño na lista da compra?;lists;check_list;list, element, date
804;Dime que teño anotado na lista da compra;lists;check_list;list, element, date
805;Di o que teño agora mesmo na lista da compra;lists;check_list;list, element, date
806;Dime que teño anotado para comprar;lists;check_list;list, element, date
807;Vou mercar, que teño na lista?;lists;check_list;list, element, date
808;Vou saír ao supermercado, disme a lista da compra?;lists;check_list;list, element, date
809;Quero que recites a lista da compra;lists;check_list;list, element, date
810;Dime o que temos anotado na lista para a compra;lists;check_list;list, element, date
811;Que teño no calendario de hoxe?;lists;check_list;list, element, date
812;Que eventos teño esta semana?;lists;check_list;list, element, date
813;Leme o que teño hoxe no calendario;lists;check_list;list, element, date
814;Leme o que teño esta semana no calendario?;lists;check_list;list, element, date
815;Teño libre esta fin de semana?;lists;check_list;list, element, date
816;Dime se teño algún evento a fin de semana;lists;check_list;list, element, date
817;Leme os eventos do meu calendario para o mes que vén;lists;check_list;list, element, date
818;Dime o que teño anotado no calendario esta semana;lists;check_list;list, element, date
819;Quero que leas os eventos do meu calendario;lists;check_list;list, element, date
820;Como teño esta fin de semana?;lists;check_list;list, element, date
821;Que teño para esta fin de semana?;lists;check_list;list, element, date
822;Dime o que teño no calendario o xoves seis;lists;check_list;list, element, date
823;Que teño no calendario o martes vinte e catro?;lists;check_list;list, element, date
824;Dime que teño anotado no calendario o venres trinta e un;lists;check_list;list, element, date
825;Que teño no calendario para o sábado que vén;lists;check_list;list, element, date
826;Teño algo o domingo sete de outubro?;lists;check_list;list, element, date
827;Dime se teño libre o dous de xuño;lists;check_list;list, element, date
828;Que teño para o vinte e sete de abril?;lists;check_list;list, element, date
829;Teño algún evento o día seis de febreiro;lists;check_list;list, element, date
830;Leme o que teño anotado para xaneiro;lists;check_list;list, element, date
831;Teño algo anotado no meu calendario para esta semana que entra?;lists;check_list;list, element, date
832;O luns trece, está baleiro no meu calendario?;lists;check_list;list, element, date
833;Teño oco o martes dous de setembro?;lists;check_list;list, element, date
834;Cal é o primeiro día que teño baleiro?;lists;check_list;list, element, date
835;Cando é o primeiro oco no meu calendario?;lists;check_list;list, element, date
836;Que teño o mércores vinte e nove de xullo?;lists;check_list;list, element, date
837;Dime que teño anotado no calendario o sábado trinta e un;lists;check_list;list, element, date
838;Teño algún evento para o dezaseis de xaneiro?;lists;check_list;list, element, date
839;O próximo martes, téñoo baleiro?;lists;check_list;list, element, date
840;Dime que teño anotado o xoves desta semana;lists;check_list;list, element, date
841;Leme o calendario do martes;lists;check_list;list, element, date
842;Quero que leas o calendario do venres;lists;check_list;list, element, date
843;Cal é o meu calendario para o domingo dezasete?;lists;check_list;list, element, date
844;Teño algo o seis deste mes?;lists;check_list;list, element, date
845;Dime o que engadín ao calendario o día nove do mes que vén;lists;check_list;list, element, date
846;Dime o que teño anotado para o próximo venres;lists;check_list;list, element, date
847;Segue baleiro o mércores sete de marzo?;lists;check_list;list, element, date
848;Leme os eventos de abril no meu calendario;lists;check_list;list, element, date
849;Que teño o catro de abril?;lists;check_list;list, element, date
850;Leme os eventos que teño anotados para agosto;lists;check_list;list, element, date
851;Pon unha alarma;alarm;add_alarm;date
852;Quero que poñas unha alarma para mañá ás sete de mañá;alarm;add_alarm;date
853;Podes pórme unha alarma hoxe ás cinco da tarde?;alarm;add_alarm;date
854;Quero que poñas unha alerta para as oito da mañá do próximo luns;alarm;add_alarm;date
855;Pon unha alerta para dentro de cinco minutos;alarm;add_alarm;date
856;Avísame dentro de media hora;alarm;add_alarm;date
857;Podes avisarme en dúas horas?;alarm;add_alarm;date
858;Pon unha alerta para o sábado ás seis da tarde;alarm;add_alarm;date
859;Espértame tódolos días ás sete;alarm;add_alarm;date
860;Ponme unha alerta en media hora para apagar o lume;alarm;add_alarm;date
861;Quero unha alarma as fins de semana para as nove da mañá;alarm;add_alarm;date
862;Podes avisarme tódolos domingos ás oito?;alarm;add_alarm;date
863;Configura unha alarma para as seis e media da tarde;alarm;add_alarm;date
864;Podes configurar unha alerta en corenta e cinco minutos?;alarm;add_alarm;date
865;Pon unha alarma tódolos martes ás dúas da tarde;alarm;add_alarm;date
866;Configura unha alarma os luns e os mércores ás once da mañá;alarm;add_alarm;date
867;Pon un temporizador de sete minutos;alarm;add_alarm;date
868;Pon unha conta atrás para dez minutos;alarm;add_alarm;date
869;Podes pór un temporizador de trinta segundos?;alarm;add_alarm;date
870;Inicia un temporizador de vinte minutos;alarm;add_alarm;date
871;Comeza unha conta atrás de oito minutos e trinta segundos;alarm;add_alarm;date
872;Pon un temporizador para a lavadora de dúas horas;alarm;add_alarm;date
873;Quero que me levantes ás oito e media os luns, os martes, os mércores e os xoves;alarm;add_alarm;date
874;Activa unha conta atrás de tres minutos;alarm;add_alarm;date
875;Temporizador de trinta e cinco minutos;alarm;add_alarm;date
876;Quero que me avises en dezasete minutos;alarm;add_alarm;date
877;Alértame en dúas horas;alarm;add_alarm;date
878;Espértame da sesta ás cinco da tarde;alarm;add_alarm;date
879;Pon unha conta atrás de oito minutos;alarm;add_alarm;date
880;Mañá quero que me espertes ás seis e media;alarm;add_alarm;date
881;Podes pór un temporizador de quince minutos?;alarm;add_alarm;date
882;Pon un temporizador;alarm;add_alarm;date
883;Crea unha nova alarma;alarm;add_alarm;date
884;Avísanos en dúas horas;alarm;add_alarm;date
885;Podes espertarme da sesta en vinte minutiños?;alarm;add_alarm;date
886;Necesito unha alarma para os mércores ás nove da mañá;alarm;add_alarm;date
887;Podes espertarme ás oito e cuarto entre semana?;alarm;add_alarm;date
888;Necesito un temporizador;alarm;add_alarm;date
889;Oíches?, ponme unha conta atrás de trinta e cinco minutos;alarm;add_alarm;date
890;Faime o favor de avisarme dentro de corenta e cinco minutos;alarm;add_alarm;date
891;Ponme unha alarma mañá ás cinco;alarm;add_alarm;date
892;Ponme unha nova alarma o martes ás tres menos cuarto;alarm;add_alarm;date
893;Pon unha alarma ás oito e vinte catro;alarm;add_alarm;date
894;Quero unha alarma para ás dez as fins de semana;alarm;add_alarm;date
895;Levántame tódolos días ás seis e corenta;alarm;add_alarm;date
896;Quero que me espertes entre semana ás oito;alarm;add_alarm;date
897;Pon unha alarma para as once e media da mañá;alarm;add_alarm;date
898;Crea unha nova alarma os martes ás catro da tarde;alarm;add_alarm;date
899;Configura unha alarma;alarm;add_alarm;date
900;Configura unha nova alarma;alarm;add_alarm;date
901;Crea unha alarma que me esperte ás sete e corenta e cinco os días entre semana;alarm;add_alarm;date
902;Créame unha alarma para os venres ás oito e dezasete;alarm;add_alarm;date
903;Configura unha alarma que soe ás nove da mañá;alarm;add_alarm;date
904;Pon unha alarma para este xoves;alarm;add_alarm;date
905;Crea unha alarma para o domingo;alarm;add_alarm;date
906;Quero unha alarma para os sábados ás nove e vinte;alarm;add_alarm;date
907;Ponme unha alarma para as catro;alarm;add_alarm;date
908;Configura unha nova alarma ás seis e media;alarm;add_alarm;date
909;Engade unha alarma para os luns ás once;alarm;add_alarm;date
910;Engade unha alarma este mércores á unha;alarm;add_alarm;date
911;Crea unha alarma para os luns ás nove;alarm;add_alarm;date
912;Activa a alarma de entre semana;alarm;add_alarm;date
913;Reactiva as alarmas dos luns e dos martes;alarm;add_alarm;date
914;Créame unha nova alarma para tódolos días ás cinco e media da tarde;alarm;add_alarm;date
915;Reactiva a alarma dos sábados á mañá;alarm;add_alarm;date
916;Crea unha alarma ao mediodía;alarm;add_alarm;date
917;Configura unha alarma para o almorzo;alarm;add_alarm;date
918;Crea unha alarma para despois da cea;alarm;add_alarm;date
919;Configura unha nova alarma para as oito da tarde;alarm;add_alarm;date
920;Crea unha alarma para o oito de xullo;alarm;add_alarm;date
921;Configura unha alarma para o vinte de decembro ás once en punto;alarm;add_alarm;date
922;Crea unha nova alarma para o tres de agosto;alarm;add_alarm;date
923;Quero que crees unha alarma para o dezaseis de setembro ás nove da mañá;alarm;add_alarm;date
924;Activa tódalas alarmas dos luns;alarm;add_alarm;date
925;Activa as alarmas dos venres;alarm;add_alarm;date
926;Configura unha nova alarma para que soe ás seis e cuarto;alarm;add_alarm;date
927;Quero unha alarma que me esperte ás sete da mañá, podes configurala?;alarm;add_alarm;date
928;Configúrame aí unha alarma para os domingos;alarm;add_alarm;date
929;Crea unha alarma para o dezanove de maio ás doce;alarm;add_alarm;date
930;Podes configurar unha alarma para alerta para o vinte e oito de novembro?;alarm;add_alarm;date
931;Pon unha alarma para o catro de abril ás catro da tarde;alarm;add_alarm;date
932;Activa a alarma das sete da tarde;alarm;add_alarm;date
933;Volve a activar a alarme das mañás;alarm;add_alarm;date
934;Pon outra vez a alarma dos luns;alarm;add_alarm;date
935;Activa a alarma das fins de semana;alarm;add_alarm;date
936;Engade unha nova alarma para ás dez e trinta e cinco da mañá;alarm;add_alarm;date
937;Pon unha alarma para o martes cinco ás once e media da noite;alarm;add_alarm;date
938;Configura unha alarma para o doce de setembro;alarm;add_alarm;date
939;Pon unha alarma para este mércores trece de agosto ás tres e media;alarm;add_alarm;date
940;Quero que volva a estar activa a alarma das doce;alarm;add_alarm;date
941;Engade unha alarma para as dúas e vinte e sete;alarm;add_alarm;date
942;Nova alarma para os luns ás nove e cincuenta e cinco;alarm;add_alarm;date
943;Programa unha nova alarma para as dez menos dez;alarm;add_alarm;date
944;Nova alarma para os días entre semana ás sete menos vinte;alarm;add_alarm;date
945;Crea unha alarma para as once menos cinco os xoves;alarm;add_alarm;date
946;Quero unha alarma para a unha e cincuenta e un;alarm;add_alarm;date
947;Programa unha alarma para as dúas menos trece minutos;alarm;add_alarm;date
948;Nova alarma para os venres ás doce cincuenta e nove;alarm;add_alarm;date
949;Programa unha alarma para ás dezaoito e trinta e tres minutos;alarm;add_alarm;date
950;Crea unha nova alarma para ás vinte e corenta e catro horas;alarm;add_alarm;date
951;Cancela a alarma;alarm;cancel_alarm;alarm
952;Cancela tódalas alarmas;alarm;cancel_alarm;alarm
953;Cancela a alarma do próximo mércores;alarm;cancel_alarm;alarm
954;Desactiva as alarmas que teño as fins de semana;alarm;cancel_alarm;alarm
955;Cancela o temporizador;alarm;cancel_alarm;alarm
956;Desactiva o temporizador, por favor;alarm;cancel_alarm;alarm
957;Podes parar o temporizador?;alarm;cancel_alarm;alarm
958;Quita tódalas alarmas do luns;alarm;cancel_alarm;alarm
959;Elimina a alarma das seis e media da mañá;alarm;cancel_alarm;alarm
960;Cancela o temporizador da lavadora;alarm;cancel_alarm;alarm
961;Para o temporizador;alarm;cancel_alarm;alarm
962;Poderías eliminar as alarmas que teño polas tardes?;alarm;cancel_alarm;alarm
963;Quita a alarma do domingo ás oito;alarm;cancel_alarm;alarm
964;Podes cancelar o temporizador?;alarm;cancel_alarm;alarm
965;Quero que desactives as alertas que teño pola mañá;alarm;cancel_alarm;alarm
966;Quita as alarmas;alarm;cancel_alarm;alarm
967;Quítame esa alarma, por deus;alarm;cancel_alarm;alarm
968;Xa non necesito a alarma dos luns;alarm;cancel_alarm;alarm
969;As alarmas das fins de semana xa non son necesarias;alarm;cancel_alarm;alarm
970;Quita a conta atrás;alarm;cancel_alarm;alarm
971;Quero que pares a conta atrás activa, podes?;alarm;cancel_alarm;alarm
972;Quítame esta conta atrás;alarm;cancel_alarm;alarm
973;Elimina esa contra atrás;alarm;cancel_alarm;alarm
974;Podes eliminar definitivamente a conta atrás de cinco minutos?;alarm;cancel_alarm;alarm
975;Non quero máis alarmas;alarm;cancel_alarm;alarm
976;Podes desactivar esta alarma?;alarm;cancel_alarm;alarm
977;Apaga o temporizador;alarm;cancel_alarm;alarm
978;Apaga as alarmas;alarm;cancel_alarm;alarm
979;Apaga a alarma dos luns ás nove;alarm;cancel_alarm;alarm
980;Desactiva a alarma dos venres;alarm;cancel_alarm;alarm
981;Quita esa alarma;alarm;cancel_alarm;alarm
982;Apaga a alarma;alarm;cancel_alarm;alarm
983;Apaga esa alarma;alarm;cancel_alarm;alarm
984;Cancela esa alarma, por deus;alarm;cancel_alarm;alarm
985;Fai calar a esa alarma!;alarm;cancel_alarm;alarm
986;Quítame a alarma de entre semana;alarm;cancel_alarm;alarm
987;Xa non necesito a alarma da mañá;alarm;cancel_alarm;alarm
988;Xa non preciso o aviso dos venres, quítao;alarm;cancel_alarm;alarm
989;Xa non quero unha alarma ás nove;alarm;cancel_alarm;alarm
990;Quítame a alarma das fins de semana;alarm;cancel_alarm;alarm
991;Desactiva a alarma de primeira hora;alarm;cancel_alarm;alarm
992;Desactiva a alarma das fins de semana;alarm;cancel_alarm;alarm
993;Desactiva a alarma dos luns, por favor;alarm;cancel_alarm;alarm
994;Quero que elimines a alarma dos domingos;alarm;cancel_alarm;alarm
995;Para esa alarma;alarm;cancel_alarm;alarm
996;Para a alarma que está a soar;alarm;cancel_alarm;alarm
997;Por deus bendito, quita esa alarma;alarm;cancel_alarm;alarm
998;Xa non quero que me espertes os martes ás sete e media;alarm;cancel_alarm;alarm
999;Podes quitar a alarma dos sábados?;alarm;cancel_alarm;alarm
1000;Non me espertes máis a esa hora;alarm;cancel_alarm;alarm
1001;Quita a alarma das mañás;alarm;cancel_alarm;alarm
1002;Quítame o temporizador que teño activo;alarm;cancel_alarm;alarm
1003;Fai calar a alarma que soa;alarm;cancel_alarm;alarm
1004;Quítame esa alarma, por favor cho pido;alarm;cancel_alarm;alarm
1005;Cancela a alarma das oito e cuarto;alarm;cancel_alarm;alarm
1006;Que cale esa alarma!;alarm;cancel_alarm;alarm
1007;Cancela a alarma que tiña para o sete de marzo;alarm;cancel_alarm;alarm
1008;Xa non necesito a alarma dos luns, páraa;alarm;cancel_alarm;alarm
1009;Pausa a alarma dos martes;alarm;cancel_alarm;alarm
1010;Pausa a alarma dos mércores;alarm;cancel_alarm;alarm
1011;Quita a alarma das fins de semana;alarm;cancel_alarm;alarm
1012;Pausa a alarma do luns;alarm;cancel_alarm;alarm
1013;Quero que deixe de soar a alarma de entre semana;alarm;cancel_alarm;alarm
1014;Elimina a alarma que teño configurada para o primeiro de abril;alarm;cancel_alarm;alarm
1015;Podes borrar a alarma que tiña configurada para o día dez de decembro?;alarm;cancel_alarm;alarm
1016;Polo de agora, pausa a alarma que teño tódolos días ás sete e media;alarm;cancel_alarm;alarm
1017;Fai que xa non soe o aviso das nove e cuarto da tarde;alarm;cancel_alarm;alarm
1018;Fai que deixe de soar a alarma dos xoves;alarm;cancel_alarm;alarm
1019;Non quero que soe máis a alarma dos venres;alarm;cancel_alarm;alarm
1020;Quita tódalas alarmas;alarm;cancel_alarm;alarm
1021;Elimina tódalas alarmas;alarm;cancel_alarm;alarm
1022;Pausa tódalas alarmas de entre semana;alarm;cancel_alarm;alarm
1023;Desactiva as alarmas que hai configuradas;alarm;cancel_alarm;alarm
1024;Pausa tódalas alarmas, por favor;alarm;cancel_alarm;alarm
1025;Silencia tódalas alarmas;alarm;cancel_alarm;alarm
1026;Fai que se silencien as alarmas;alarm;cancel_alarm;alarm
1027;Quita a alarma do martes que vén;alarm;cancel_alarm;alarm
1028;Elimina a alarma que soaría o trinta e un de agosto;alarm;cancel_alarm;alarm
1029;Xa non preciso da alarma do martes trinta de setembro;alarm;cancel_alarm;alarm
1030;Podes desactivar as alarmas dos luns, os martes e os mércores?;alarm;cancel_alarm;alarm
1031;Cancela a alarma das e cincuenta e tres;alarm;cancel_alarm;alarm
1032;Cancela a alarma que teño ás e media;alarm;cancel_alarm;alarm
1033;Cancela a alarma dos sábados ás once e cincuenta e seis;alarm;cancel_alarm;alarm
1034;Eliminar unha alarma;alarm;cancel_alarm;alarm
1035;Elimina a alarma que soa ás catorce horas;alarm;cancel_alarm;alarm
1036;Elimina as alarmas que teño os sábados e os domingos pola mañá;alarm;cancel_alarm;alarm
